2026-01-30 15:53:09,812 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1
wandb: Currently logged in as: misaacson (misaacson-texas-state-technical-college) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 1yy1869w
wandb: Tracking run with wandb version 0.23.1
wandb: Run data is saved locally in /home/dave/Downloads/source/nanochat/wandb/run-20260130_155310-1yy1869w
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run d8_100M_fim_5k
wandb: ⭐️ View project at https://wandb.ai/misaacson-texas-state-technical-college/nanochat
wandb: 🚀 View run at https://wandb.ai/misaacson-texas-state-technical-college/nanochat/runs/1yy1869w

                                                       █████                █████
                                                      ░░███                ░░███
     ████████    ██████   ████████    ██████   ██████  ░███████    ██████  ███████
    ░░███░░███  ░░░░░███ ░░███░░███  ███░░███ ███░░███ ░███░░███  ░░░░░███░░░███░
     ░███ ░███   ███████  ░███ ░███ ░███ ░███░███ ░░░  ░███ ░███   ███████  ░███
     ░███ ░███  ███░░███  ░███ ░███ ░███ ░███░███  ███ ░███ ░███  ███░░███  ░███ ███
     ████ █████░░████████ ████ █████░░██████ ░░██████  ████ █████░░███████  ░░█████
    ░░░░ ░░░░░  ░░░░░░░░ ░░░░ ░░░░░  ░░░░░░   ░░░░░░  ░░░░ ░░░░░  ░░░░░░░░   ░░░░░
    
Kernel backend: current
Autodetected device type: cuda
Precision: PyTorch BF16
Vocab size: 32,768
num_layers: 8
model_dim: 768
num_heads: 6
num_kv_heads: 6
Tokens / micro-batch / rank: 8 x 1024 = 8,192
Tokens / micro-batch: 8,192
Total batch size 65,536 => gradient accumulation steps: 8
Scaling LRs by 0.3536 for batch size 65,536 (reference: 524,288)
Scaling weight decay from 0.200000 to 0.450000 for depth 8
Number of parameters: 106,954,768 (scaling: 106,954,768)
Estimated FLOPs per token: 5.379195e+08
Using user-provided number of iterations: 5,000
Total number of training tokens: 327,680,000
Tokens : Params ratio: 3.06
Total training FLOPs estimate: 1.762655e+17
Scaling the LR for the AdamW parameters ∝1/√(768/768) = 1.000000
FIM enabled: fim_rate=0.5
Step 00000 | Validation bpb: 4.914461
step 00000/05000 (0.00%) | loss: 10.400487 | lrm: 0.00 | dt: 3656.73ms | tok/sec: 17,922 | mfu: 15.55 | total time: 0.00m
step 00001/05000 (0.02%) | loss: 10.398666 | lrm: 0.01 | dt: 788.31ms | tok/sec: 83,134 | mfu: 72.13 | total time: 0.00m
step 00002/05000 (0.04%) | loss: 10.395512 | lrm: 0.01 | dt: 784.13ms | tok/sec: 83,578 | mfu: 72.51 | total time: 0.00m
step 00003/05000 (0.06%) | loss: 10.395226 | lrm: 0.02 | dt: 780.73ms | tok/sec: 83,941 | mfu: 72.83 | total time: 0.00m
step 00004/05000 (0.08%) | loss: 10.393423 | lrm: 0.02 | dt: 777.25ms | tok/sec: 84,318 | mfu: 73.16 | total time: 0.00m
step 00005/05000 (0.10%) | loss: 10.390535 | lrm: 0.02 | dt: 779.93ms | tok/sec: 84,028 | mfu: 72.90 | total time: 0.00m
step 00006/05000 (0.12%) | loss: 10.387950 | lrm: 0.03 | dt: 779.74ms | tok/sec: 84,048 | mfu: 72.92 | total time: 0.00m
step 00007/05000 (0.14%) | loss: 10.385699 | lrm: 0.03 | dt: 785.09ms | tok/sec: 83,476 | mfu: 72.42 | total time: 0.00m
step 00008/05000 (0.16%) | loss: 10.382586 | lrm: 0.04 | dt: 845.36ms | tok/sec: 77,524 | mfu: 67.26 | total time: 0.00m
step 00009/05000 (0.18%) | loss: 10.378911 | lrm: 0.04 | dt: 777.56ms | tok/sec: 84,284 | mfu: 73.13 | total time: 0.00m
step 00010/05000 (0.20%) | loss: 10.374181 | lrm: 0.04 | dt: 787.78ms | tok/sec: 83,190 | mfu: 72.18 | total time: 0.00m
step 00011/05000 (0.22%) | loss: 10.369101 | lrm: 0.05 | dt: 816.00ms | tok/sec: 80,313 | mfu: 69.68 | total time: 0.01m | eta: 67.9m
step 00012/05000 (0.24%) | loss: 10.361584 | lrm: 0.05 | dt: 1091.40ms | tok/sec: 60,047 | mfu: 52.10 | total time: 0.03m | eta: 79.3m
step 00013/05000 (0.26%) | loss: 10.354116 | lrm: 0.06 | dt: 974.53ms | tok/sec: 67,248 | mfu: 58.35 | total time: 0.05m | eta: 79.8m
step 00014/05000 (0.28%) | loss: 10.345285 | lrm: 0.06 | dt: 802.39ms | tok/sec: 81,675 | mfu: 70.86 | total time: 0.06m | eta: 76.5m
step 00015/05000 (0.30%) | loss: 10.333908 | lrm: 0.06 | dt: 784.97ms | tok/sec: 83,488 | mfu: 72.44 | total time: 0.07m | eta: 74.3m
step 00016/05000 (0.32%) | loss: 10.316163 | lrm: 0.07 | dt: 776.50ms | tok/sec: 84,399 | mfu: 73.23 | total time: 0.09m | eta: 72.6m
step 00017/05000 (0.34%) | loss: 10.290302 | lrm: 0.07 | dt: 786.38ms | tok/sec: 83,339 | mfu: 72.31 | total time: 0.10m | eta: 71.6m
step 00018/05000 (0.36%) | loss: 10.246792 | lrm: 0.08 | dt: 872.54ms | tok/sec: 75,109 | mfu: 65.17 | total time: 0.12m | eta: 71.7m
step 00019/05000 (0.38%) | loss: 10.216581 | lrm: 0.08 | dt: 789.88ms | tok/sec: 82,969 | mfu: 71.99 | total time: 0.13m | eta: 71.0m
step 00020/05000 (0.40%) | loss: 10.155730 | lrm: 0.08 | dt: 779.26ms | tok/sec: 84,100 | mfu: 72.97 | total time: 0.14m | eta: 70.3m
step 00021/05000 (0.42%) | loss: 10.100029 | lrm: 0.09 | dt: 774.78ms | tok/sec: 84,586 | mfu: 73.39 | total time: 0.15m | eta: 69.8m
step 00022/05000 (0.44%) | loss: 10.096427 | lrm: 0.09 | dt: 781.84ms | tok/sec: 83,822 | mfu: 72.73 | total time: 0.17m | eta: 69.3m
step 00023/05000 (0.46%) | loss: 10.012444 | lrm: 0.10 | dt: 783.44ms | tok/sec: 83,651 | mfu: 72.58 | total time: 0.18m | eta: 69.0m
step 00024/05000 (0.48%) | loss: 9.927328 | lrm: 0.10 | dt: 780.96ms | tok/sec: 83,917 | mfu: 72.81 | total time: 0.19m | eta: 68.7m
step 00025/05000 (0.50%) | loss: 9.841694 | lrm: 0.10 | dt: 780.64ms | tok/sec: 83,952 | mfu: 72.84 | total time: 0.21m | eta: 68.4m
step 00026/05000 (0.52%) | loss: 9.735135 | lrm: 0.11 | dt: 809.46ms | tok/sec: 80,962 | mfu: 70.24 | total time: 0.22m | eta: 68.3m
step 00027/05000 (0.54%) | loss: 9.639392 | lrm: 0.11 | dt: 782.20ms | tok/sec: 83,784 | mfu: 72.69 | total time: 0.23m | eta: 68.1m
step 00028/05000 (0.56%) | loss: 9.532323 | lrm: 0.12 | dt: 780.67ms | tok/sec: 83,948 | mfu: 72.83 | total time: 0.25m | eta: 67.9m
step 00029/05000 (0.58%) | loss: 9.427006 | lrm: 0.12 | dt: 781.74ms | tok/sec: 83,833 | mfu: 72.74 | total time: 0.26m | eta: 67.7m
step 00030/05000 (0.60%) | loss: 9.300412 | lrm: 0.12 | dt: 776.91ms | tok/sec: 84,354 | mfu: 73.19 | total time: 0.27m | eta: 67.5m
step 00031/05000 (0.62%) | loss: 9.184347 | lrm: 0.13 | dt: 985.58ms | tok/sec: 66,495 | mfu: 57.69 | total time: 0.29m | eta: 68.2m
step 00032/05000 (0.64%) | loss: 9.070464 | lrm: 0.13 | dt: 779.91ms | tok/sec: 84,030 | mfu: 72.91 | total time: 0.30m | eta: 68.0m
step 00033/05000 (0.66%) | loss: 8.952030 | lrm: 0.14 | dt: 780.30ms | tok/sec: 83,988 | mfu: 72.87 | total time: 0.31m | eta: 67.9m
step 00034/05000 (0.68%) | loss: 8.821024 | lrm: 0.14 | dt: 783.59ms | tok/sec: 83,635 | mfu: 72.56 | total time: 0.33m | eta: 67.7m
